region,prov,municity,percent_cnt,percent_amt,target_cnt_4p,target_cnt_n4p,total_cnt_target,actual_cnt_4p,actual_cnt_n4p,total_cnt_actual,target_amt_4p,target_amt_n4p,total_amt_target,actual_amt_4p,actual_amt_n4p,total_amt_actual,actual_amt_lgu_n4p
VI,ILOILO,CALINOG,0.9919842958,0.9934177599,3055,9171,12226,2957,9171,12128,14205750,55026000,69231750,13750050,55026000,68776050,55026000
IV-B,OCCIDENTAL MINDORO,CALINTAAN,0.9996588777,0.9997258993,1987,3876,5863,1985,3876,5861,7252550,19380000,26632550,7245250,19380000,26625250,19380000
VIII,LEYTE,CALUBIAN,0.9217534411,0.9136722941,2539,4145,6684,2518,3643,6161,9238150,20725000,29963150,9161500,18215000,27376500,20725000
III,BULACAN,CALUMPIT,0.9927713954,0.9939947892,2287,13207,15494,2182,13200,15382,11778050,85845500,97623550,11237300,85800000,97037300,85800000
VI,ANTIQUE,CALUYA,0.8267447535,0.8185614253,1383,4764,6147,1350,3732,5082,6440250,28584000,35024250,6277500,22392000,28669500,28584000
II,CAGAYAN,CAMALANIUGAN,0.9968044737,0.996584343,599,4408,5007,583,4408,4991,2485850,24244000,26729850,2394550,24244000,26638550,24244000
V,ALBAY,CAMALIG,0.9810672631,0.9847969455,4215,8303,12518,3978,8303,12281,15384750,41515000,56899750,14519700,41515000,56034700,41515000
V,CAMARINES SUR,CAMALIGAN,1,1,1005,3292,4297,1005,3292,4297,3668250,16460000,20128250,3668250,16460000,20128250,16460000
III,TARLAC,CAMILING,0.9948491538,0.9947880727,1611,13338,14949,1607,13265,14872,8296650,86697000,94993650,8276050,86222500,94498550,86222500
VIII,EASTERN SAMAR,CAN-AVID,0.9987852284,0.9988728833,1468,2648,4116,1465,2646,4111,5347250,13240000,18587250,5336300,13230000,18566300,13240000
V,CAMARINES SUR,CANAMAN,0.9993435089,0.9994826603,1662,4431,6093,1658,4431,6089,6066300,22155000,28221300,6051700,22155000,28206700,22155000
III,PAMPANGA,CANDABA,0.9938499385,0.9939119998,5195,9439,14634,5159,9385,14544,26754250,61353500,88107750,26568850,61002500,87571350,61002500
IV-A,QUEZON,CANDELARIA,0.9903173537,0.9901494988,2076,23227,25303,2076,22982,25058,10691400,150975500,161666900,10691400,149383000,160074400,150975500
III,ZAMBALES,CANDELARIA,0.9939527213,0.9936674483,947,2691,3638,946,2670,3616,4877050,17491500,22368550,4871900,17355000,22226900,17355000
VII,BOHOL,CANDIJAY,0.9954946499,0.9962294941,1751,3576,5327,1727,3576,5303,8142150,21456000,29598150,8030550,21456000,29486550,21456000
VI,NEGROS OCCIDENTAL,CANDONI,0.9929261967,0.9996054122,1294,2947,4241,1264,2947,4211,5886900,17682000,23568900,5877600,17682000,23559600,17682000
CARAGA,SURIGAO DEL SUR,CANTILAN,0.9982099268,0.8696538298,2079,4066,6145,2068,4066,6134,7588350,20330000,27918350,3949300,20330000,24279300,20330000
I,ILOCOS SUR,CAOAYAN,1,1,645,3100,3745,645,3100,3745,2676750,17050000,19726750,2676750,17050000,19726750,17050000
V,CAMARINES NORTE,CAPALONGA,0.9963683905,0.9970410316,2653,4231,6884,2628,4231,6859,9683450,21155000,30838450,9592200,21155000,30747200,21155000
III,TARLAC,CAPAS,0.9948791235,0.9948481937,4028,21163,25191,4011,21051,25062,20744200,137559500,158303700,20656650,136831500,157488150,136831500
VIII,LEYTE,CAPOOCAN,0.9639074693,0.9638043429,2469,4707,7176,2459,4458,6917,11869800,23535000,35404800,11833300,22290000,34123300,23535000
VIII,NORTHERN SAMAR,CAPUL,0.9995491434,0.9996262926,980,1238,2218,979,1238,2217,3577000,6190000,9767000,3573350,6190000,9763350,6190000
XI,DAVAO ORIENTAL,CARAGA,0.9990773692,0.9991852152,4128,3459,7587,4121,3459,7580,19195200,20754000,39949200,19162650,20754000,39916650,20754000
V,CAMARINES SUR,CARAMOAN,0.9957234498,0.9964129674,4043,4375,8418,4007,4375,8382,14756950,21875000,36631950,14625550,21875000,36500550,21875000
V,CATANDUANES,CARAMORAN,0.9979855632,0.9983481235,2422,3535,5957,2410,3535,5945,8840300,17675000,26515300,8796500,17675000,26471500,17675000
I,ILOCOS NORTE,CARASI,1,1,61,295,356,61,295,356,253150,1622500,1875650,253150,1622500,1875650,1622500
IV-A,RIZAL,CARDONA,1,1,2097,3810,5907,2097,3810,5907,10799550,24765000,35564550,10799550,24765000,35564550,24765000
VIII,LEYTE,CARIGARA,0.9201164589,0.917623781,3327,7664,10991,3321,6792,10113,14873750,38320000,53193750,14851850,33960000,48811850,38320000
VI,ILOILO,CARLES,0.9727417718,0.9703880338,4929,8865,13794,4924,8494,13418,22924500,53190000,76114500,22896600,50964000,73860600,53190000
XI,DAVAO DEL NORTE,CARMEN,0.9974392799,0.9978192423,5153,7734,12887,5120,7734,12854,23961450,46404000,70365450,23808000,46404000,70212000,46404000
VII,CEBU,CARMEN,0.9995200384,0.9996103459,1681,6653,8334,1677,6653,8330,7816650,39918000,47734650,7798050,39918000,47716050,39918000
VII,BOHOL,CARMEN,0.9964441386,0.9970057268,3086,5632,8718,3055,5632,8687,14349900,33792000,48141900,14205750,33792000,47997750,33792000
CARAGA,AGUSAN DEL NORTE,CARMEN,0.9987287058,0.9981014304,1750,2183,3933,1745,2183,3928,6387500,10915000,17302500,6354650,10915000,17269650,10915000
XII,COTABATO (NORTH COTABATO),CARMEN,0.9921210058,0.9937278804,6319,14242,20561,6157,14242,20399,23064350,71210000,94274350,22473050,71210000,93683050,71210000
CARAGA,SURIGAO DEL SUR,CARMEN,0.9989811513,1.491705541,760,1203,1963,758,1203,1961,2774000,6015000,8789000,7095600,6015000,13110600,6015000
IV-A,CAVITE,CARMONA,1,1,1204,13298,14502,1204,13298,14502,6200600,86437000,92637600,6200600,86437000,92637600,86437000
III,NUEVA ECIJA,CARRANGLAN,0.9889190657,0.9897115823,2515,6690,9205,2454,6649,9103,12952250,43485000,56437250,12638100,43218500,55856600,43218500
CARAGA,SURIGAO DEL SUR,CARRASCAL,1,0.9834256567,1419,2840,4259,1419,2840,4259,5179350,14200000,19379350,4858150,14200000,19058150,14200000
V,SORSOGON,CASIGURAN,0.9989531536,0.9991604612,2540,5102,7642,2532,5102,7634,9271000,25510000,34781000,9241800,25510000,34751800,25510000
III,AURORA,CASIGURAN,0.9936440678,0.993581856,1355,4309,5664,1348,4280,5628,6978250,28008500,34986750,6942200,27820000,34762200,27820000
V,SORSOGON,CASTILLA,0.9918735892,0.9934231601,4824,8466,13290,4716,8466,13182,17607600,42330000,59937600,17213400,42330000,59543400,42330000
III,ZAMBALES,CASTILLEJOS,0.9902141377,0.9902059477,1056,7630,8686,1046,7555,8601,5438400,49595000,55033400,5386900,49107500,54494400,49296000
V,MASBATE,CATAINGAN,0.9906152242,0.9921439419,4999,5550,10549,4900,5550,10450,18246350,27750000,45996350,17885000,27750000,45635000,27750000
IV-A,QUEZON,CATANAUAN,0.950626858,0.9474102514,4557,10917,15474,4557,10153,14710,23468550,70960500,94429050,23468550,65994500,89463050,70960500
X,CAMIGUIN,CATARMAN,0.9944658325,0.9954525161,1050,3106,4156,1027,3106,4133,4882500,18636000,23518500,4775550,18636000,23411550,18636000
VIII,NORTHERN SAMAR,CATARMAN (Capital),0.9560246794,0.951234182,6425,10107,16532,6405,9400,15805,23451250,50535000,73986250,23378250,47000000,70378250,50535000
XI,DAVAO ORIENTAL,CATEEL,0.9988337437,0.9989816961,3855,3862,7717,3846,3862,7708,17925750,23172000,41097750,17883900,23172000,41055900,23172000
VII,BOHOL,CATIGBIAN,0.9997628083,0.9998045792,1112,3104,4216,1111,3104,4215,5170800,18624000,23794800,5166150,18624000,23790150,18624000
VII,CEBU,CATMON,0.9969921797,0.99749172,1566,3421,4987,1551,3421,4972,7281900,20526000,27807900,7212150,20526000,27738150,20526000
VIII,NORTHERN SAMAR,CATUBIG,0.9642116183,0.9609454123,1894,3890,5784,1890,3687,5577,6913100,19450000,26363100,6898500,18435000,25333500,19450000
VI,NEGROS OCCIDENTAL,CAUAYAN,0.991755894,0.9990323018,6061,13832,19893,5897,13832,19729,27528000,82992000,110520000,27421050,82992000,110413050,82992000
IV-A,LAGUNA,CAVINTI,1,1,788,2741,3529,788,2741,3529,4058200,17816500,21874700,4058200,17816500,21874700,17816500
V,MASBATE,CAWAYAN,0.9881978799,0.9903859424,5443,8707,14150,5276,8707,13983,19866950,43535000,63401950,19257400,43535000,62792400,43535000
I,ILOCOS SUR,CERVANTES,0.9993748046,0.9994715345,1399,1800,3199,1397,1800,3197,5805850,9900000,15705850,5797550,9900000,15697550,9900000
I,PANGASINAN,CITY OF ALAMINOS,0.9991673605,0.9993401334,3515,14500,18015,3500,14500,18000,14587250,79750000,94337250,14525000,79750000,94275000,79750000
III,PAMPANGA,CITY OF ANGELES,0.9889012414,0.9890381919,3413,50557,53970,3340,50031,53371,17576950,328620500,346197450,17201000,325201500,342402500,326930500
IV-A,RIZAL,CITY OF ANTIPOLO (Capital),0.9999679484,0.9999743545,4406,89193,93599,4403,89193,93596,22690900,579754500,602445400,22675450,579754500,602429950,579754500
VI,NEGROS OCCIDENTAL,CITY OF BACOLOD (Capital),0.9998717608,0.9997893653,11028,98143,109171,11014,98143,109157,51349950,588858000,640207950,51215100,588858000,640073100,588858000
IV-A,CAVITE,CITY OF BACOOR,1,1,8678,80477,89155,8678,80477,89155,44691700,523100500,567792200,44691700,523100500,567792200,523100500
VI,NEGROS OCCIDENTAL,CITY OF BAGO,0.9382426375,0.9359028746,4800,28443,33243,4780,26410,31190,22403700,170658000,193061700,22227000,158460000,180687000,170658000
VII,NEGROS ORIENTAL,CITY OF BAIS,0.9971889985,0.9977236863,3464,14679,18143,3413,14679,18092,16107600,88074000,104181600,15870450,88074000,103944450,88074000
III,BATAAN,CITY OF BALANGA (Capital),0.9944686441,0.9944693327,1257,13206,14463,1250,13133,14383,6473550,85839000,92312550,6437500,85364500,91802000,85364500
I,ILOCOS NORTE,CITY OF BATAC,1,1,1776,9400,11176,1776,9400,11176,7370400,51700000,59070400,7370400,51700000,59070400,51700000
VII,NEGROS ORIENTAL,CITY OF BAYAWAN (TULONG),0.9971518189,0.997640946,7928,19809,27737,7849,19809,27658,36865200,118854000,155719200,36497850,118854000,155351850,118854000
VIII,LEYTE,CITY OF BAYBAY,0.9952458455,0.9950057893,4070,19278,23348,4053,19184,23237,10143350,96390000,106533350,10081300,95920000,106001300,96390000
CARAGA,AGUSAN DEL SUR,CITY OF BAYUGAN,0.9990922198,0.9977266918,6325,12402,18727,6308,12402,18710,23086250,62010000,85096250,22892800,62010000,84902800,62010000
CARAGA,SURIGAO DEL SUR,CITY OF BISLIG,0.9989453819,0.7716602211,6066,11950,18016,6047,11950,17997,22140900,59750000,81890900,3441950,59750000,63191950,59750000
IV-A,LAGUNA,CITY OF BIÑAN,1,1,5768,48121,53889,5768,48121,53889,29705200,312786500,342491700,29705200,312786500,342491700,312786500
VII,CEBU,CITY OF BOGO,0.9972013434,0.9976019927,5309,7197,12506,5274,7197,12471,24686850,43182000,67868850,24524100,43182000,67706100,43182000
VIII,EASTERN SAMAR,CITY OF BORONGAN (Capital),0.9991151748,0.999251101,2909,10653,13562,2900,10650,13550,10628800,53265000,63893800,10595950,53250000,63845950,53265000
CARAGA,AGUSAN DEL NORTE,CITY OF BUTUAN (Capital),0.9983891557,0.9971290802,14872,50932,65804,14766,50932,65698,54282800,254660000,308942800,53395850,254660000,308055850,254660000
CARAGA,AGUSAN DEL NORTE,CITY OF CABADBARAN,0.9992722421,0.9989592655,3917,12572,16489,3905,12572,16477,14297050,62860000,77157050,14216750,62860000,77076750,62860000
III,NUEVA ECIJA,CITY OF CABANATUAN,0.9927451474,0.9927294359,6617,60924,67541,6574,60477,67051,34077550,396006000,430083550,33856100,393100500,426956600,393978000
IV-A,LAGUNA,CITY OF CABUYAO,0.999979943,0.9999839582,2252,47606,49858,2251,47606,49857,11597800,309439000,321036800,11592650,309439000,321031650,309439000
VI,NEGROS OCCIDENTAL,CITY OF CADIZ,0.9998010016,0.998384602,6255,23896,30151,6249,23896,30145,29336850,143376000,172712850,29057850,143376000,172433850,143376000
X,MISAMIS ORIENTAL,CITY OF CAGAYAN DE ORO (Capital),0.999383644,0.9995083262,16834,116206,133040,16752,116206,132958,78278100,697236000,775514100,77896800,697236000,775132800,697236000
IV-A,LAGUNA,CITY OF CALAMBA,1,1,3973,69518,73491,3973,69518,73491,20460950,451867000,472327950,20460950,451867000,472327950,451867000
IV-B,ORIENTAL MINDORO,CITY OF CALAPAN (Capital),0.9988339223,0.9991082577,4761,23539,28300,4728,23539,28267,17377650,117695000,135072650,17257200,117695000,134952200,117695000
VIII,SAMAR (WESTERN SAMAR),CITY OF CALBAYOG,0.9555997143,0.9363251258,11539,20668,32207,11512,19265,30777,8376750,103340000,111716750,8278200,96325000,104603200,103340000
NCR,"NCR, THIRD DISTRICT (Not a Province)",CITY OF CALOOCAN,0.9980688088,0.9983602836,30655,215825,246480,30179,215825,246004,203855750,1726600000,1930455750,200690350,1726600000,1927290350,1726600000
I,ILOCOS SUR,CITY OF CANDON,0.9879486508,0.9875065122,1651,9800,11451,1651,9662,11313,6851650,53900000,60751650,6851650,53141000,59992650,53900000
VII,NEGROS ORIENTAL,CITY OF CANLAON,0.9919647686,0.9934666086,2695,10248,12943,2591,10248,12839,12531750,61488000,74019750,12048150,61488000,73536150,61488000
VII,CEBU,CITY OF CARCAR,0.9981537515,0.9984927718,4392,15107,19499,4356,15107,19463,20422800,90642000,111064800,20255400,90642000,110897400,90642000
VIII,SAMAR (WESTERN SAMAR),CITY OF CATBALOGAN (Capital),0.9860416552,0.9854517761,5001,13196,18197,4968,12975,17943,18253650,65980000,84233650,18133200,64875000,83008200,65980000
II,ISABELA,CITY OF CAUAYAN,0.9997193039,0.9990670607,2748,22190,24938,2741,22190,24931,11404200,122045000,133449200,11279700,122045000,133324700,122045000
IV-A,CAVITE,CITY OF CAVITE,1,1,2436,12905,15341,2436,12905,15341,12545400,83882500,96427900,12545400,83882500,96427900,83882500
VII,CEBU,CITY OF CEBU (Capital),0.9137604957,0.9125735876,9626,139482,149108,9571,126678,136249,44760900,836892000,881652900,44505150,760068000,804573150,836892000
XII,CITY OF COTABATO,CITY OF COTABATO,0.9880332378,0.9903082173,12487,21691,34178,12078,21691,33769,45577550,108455000,154032550,44084700,108455000,152539700,108455000
I,PANGASINAN,CITY OF DAGUPAN,0.9999079557,0.9999281161,4493,28100,32593,4490,28100,32590,18645950,154550000,173195950,18633500,154550000,173183500,154550000
IX,ZAMBOANGA DEL NORTE,CITY OF DAPITAN,0.9985005088,0.9999128582,6260,12413,18673,6232,12413,18645,21706550,62065000,83771550,21699250,62065000,83764250,62065000
IV-A,CAVITE,CITY OF DASMARIÑAS,0.9999897674,0.9999918142,4511,93216,97727,4510,93216,97726,23231650,605904000,629135650,23226500,605904000,629130500,605904000
XI,DAVAO DEL SUR,CITY OF DAVAO,0.9673301921,0.9667596057,33670,298043,331713,33392,287484,320876,156565500,1788258000,1944823500,155272800,1724904000,1880176800,1788258000
XI,DAVAO DEL SUR,CITY OF DIGOS (Capital),0.9983725188,0.9987007952,4462,29947,34409,4406,29947,34353,20748300,179682000,200430300,20487900,179682000,200169900,179682000
IX,ZAMBOANGA DEL NORTE,CITY OF DIPOLOG (Capital),0.9981500514,0.9998109276,7093,22097,29190,7039,22097,29136,24648450,110485000,135133450,24622900,110485000,135107900,110485000
VII,NEGROS ORIENTAL,CITY OF DUMAGUETE (Capital),0.8570783618,0.8557618639,1355,29655,31010,1341,25237,26578,6300750,177930000,184230750,6235650,151422000,157657650,177930000
X,MISAMIS ORIENTAL,CITY OF EL SALVADOR,0.9995956328,0.9986091681,2822,7070,9892,2818,7070,9888,13122300,42420000,55542300,13103700,42361350,55465050,42420000
VI,NEGROS OCCIDENTAL,CITY OF ESCALANTE,0.9995084385,0.9986609592,4276,14033,18309,4267,14033,18300,19981050,84198000,104179050,19841550,84198000,104039550,84198000
III,NUEVA ECIJA,CITY OF GAPAN,0.9991075051,0.9992201304,2094,22556,24650,2079,22549,24628,10784100,146614000,157398100,10706850,146568500,157275350,146568500
XII,SOUTH COTABATO,CITY OF GENERAL SANTOS (DADIANGAS),0.9720390545,0.9719261173,14338,111230,125568,13988,108069,122057,52333700,556150000,608483700,51056200,540345000,591401200,556150000
IV-A,CAVITE,CITY OF GENERAL TRIAS,1,1,2295,44373,46668,2295,44373,46668,11819250,288424500,300243750,11819250,288424500,300243750,288424500
X,MISAMIS ORIENTAL,CITY OF GINGOOG,0.9955823944,0.9960832918,9077,15597,24674,8968,15597,24565,42208050,93582000,135790050,41701200,93557000,135258200,93582000
VII,NEGROS ORIENTAL,CITY OF GUIHULNGAN,0.991779624,0.9931401883,7246,15624,22870,7058,15624,22682,33693900,93744000,127437900,32819700,93744000,126563700,93744000
VI,NEGROS OCCIDENTAL,CITY OF HIMAMAYLAN,0.9918804651,0.9945953291,5719,15095,20814,5550,15095,20645,26439900,90570000,117009900,25807500,90570000,116377500,90570000
II,ISABELA,CITY OF ILAGAN (Capital),0.9994376889,0.999395358,4073,24381,28454,4057,24381,28438,16902950,134095500,150998450,16811650,134095500,150907150,134095500
X,LANAO DEL NORTE,CITY OF ILIGAN,0.9790596919,0.9781312626,15783,46537,62320,15695,45320,61015,73390950,279222000,352612950,72981750,271920000,344901750,279222000
VI,ILOILO,CITY OF ILOILO (Capital),0.8580965517,0.8547441295,11410,79215,90625,11309,66456,77765,52731000,475290000,528021000,52586850,398736000,451322850,475290000
IV-A,CAVITE,CITY OF IMUS,1,1,2635,57296,59931,2635,57296,59931,13570250,372424000,385994250,13570250,372424000,385994250,372424000
V,CAMARINES SUR,CITY OF IRIGA,0.9937571792,0.9951740438,4129,15894,20023,4004,15894,19898,15070850,79470000,94540850,14614600,79470000,94084600,79470000
IX,CITY OF ISABELA,CITY OF ISABELA,0.998308352,0.9997737285,9123,16296,25419,9080,16296,25376,31437450,81480000,112917450,31411900,81480000,112891900,81480000
VI,NEGROS OCCIDENTAL,CITY OF KABANKALAN,0.9922905312,0.9942548611,8703,26708,35411,8587,26551,35138,40138800,160248000,200386800,39929550,159306000,199235550,160248000
XII,COTABATO (NORTH COTABATO),CITY OF KIDAPAWAN (Capital),0.9978388391,0.9983790848,2882,26269,29151,2819,26269,29088,10519300,131345000,141864300,10289350,131345000,141634350,131345000
XII,SOUTH COTABATO,CITY OF KORONADAL (Capital),0.9944937785,0.9958414443,4587,32462,37049,4383,32462,36845,16742550,162310000,179052550,15997950,162310000,178307950,162310000
VI,NEGROS OCCIDENTAL,CITY OF LA CARLOTA,0.9992028061,0.9991062493,1810,10734,12544,1800,10734,12534,8435100,64404000,72839100,8370000,64404000,72774000,64404000
BARMM,BASILAN,CITY OF LAMITAN (Capital),0.8488897622,0.8593663884,4064,1025,5089,3295,1025,4320,14833600,5125000,19958600,12026750,5125000,17151750,5125000
I,ILOCOS NORTE,CITY OF LAOAG (Capital),0.824088893,0.8203196685,1869,20000,21869,1869,16153,18022,7756350,110000000,117756350,7756350,88841500,96597850,110000000
VII,CEBU,CITY OF LAPU-LAPU (OPON),0.9993964268,0.9995220998,6244,60028,66272,6204,60028,66232,29034600,360168000,389202600,28848600,360168000,389016600,360168000
NCR,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIÑAS,0.9972543295,0.9976813712,6925,67738,74663,6720,67738,74458,46051250,541904000,587955250,44688000,541904000,586592000,541904000
V,ALBAY,CITY OF LEGAZPI (Capital),0.9976361907,0.9981580066,8615,28190,36805,8528,28190,36718,31444750,140950000,172394750,31127200,140950000,172077200,140950000
V,ALBAY,CITY OF LIGAO,0.993026033,0.9944421529,6513,14422,20935,6367,14422,20789,23772450,72110000,95882450,23239550,72110000,95349550,72110000
IV-A,BATANGAS,CITY OF LIPA,0.9999803637,0.9999839056,8172,42754,50926,8171,42754,50925,42085800,277901000,319986800,42080650,277901000,319981650,277901000
IV-A,QUEZON,CITY OF LUCENA (Capital),0.9870449156,0.9867802855,5679,51673,57352,5677,50932,56609,29246850,335874500,365121350,29236550,331058000,360294550,335874500
VIII,SOUTHERN LEYTE,CITY OF MAASIN (Capital),0.9867369073,0.9862102284,2645,13490,16135,2640,13281,15921,9654250,67450000,77104250,9636000,66405000,76041000,67450000
NCR,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,0.8533918026,0.8525603381,4553,69788,74341,4248,59194,63442,30277450,558304000,588581450,28249200,473552000,501801200,558304000
NCR,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,0.99260816,0.9935947912,13315,41881,55196,12907,41881,54788,88544750,335048000,423592750,85831550,335048000,420879550,335048000
X,BUKIDNON,CITY OF MALAYBALAY (Capital),0.9964088562,0.9970499271,8474,25220,33694,8353,25220,33573,39404100,151320000,190724100,38841450,151320000,190161450,151320000
III,BULACAN,CITY OF MALOLOS (Capital),0.9947983668,0.9953395811,3180,32578,35758,3072,32500,35572,16377000,211757000,228134000,15820800,211250000,227070800,211250000
NCR,"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,0.996657177,0.9971470174,8398,46047,54445,8216,46047,54263,55846700,368376000,424222700,54636400,368376000,423012400,368376000
VII,CEBU,CITY OF MANDAUE,0.9086656233,0.9076401757,3009,55775,58784,2999,50416,53415,13991850,334650000,348641850,13945350,302496000,316441350,334650000
NCR,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",CITY OF MANILA,0.9952040033,0.9958778016,44929,185680,230609,43823,185680,229503,298777850,1485440000,1784217850,291422950,1485440000,1776862950,1485440000
BARMM,LANAO DEL SUR,CITY OF MARAWI (Capital),,,,16292,,,11614,,,81460000,,,58070000,58070000,81460000
NCR,"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,0.9980663325,0.9983565634,8409,56235,64644,8284,56235,64519,55919850,449880000,505799850,55088600,449880000,504968600,449880000
V,MASBATE,CITY OF MASBATE (Capital),0.9911609892,0.9929474647,6346,13792,20138,6168,13792,19960,23162900,68960000,92122900,22513200,68960000,91473200,68960000
XI,DAVAO ORIENTAL,CITY OF MATI (Capital),0.9986616603,0.9988892583,7914,18985,26899,7878,18985,26863,36800100,113910000,150710100,36632700,113910000,150542700,113910000
III,BULACAN,CITY OF MEYCAUAYAN,0.9957468354,0.996249411,3283,26342,29625,3199,26300,29499,16907450,171223000,188130450,16474850,170950000,187424850,170950000
NCR,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,0.9942815848,0.9951195386,9818,53836,63654,9454,53836,63290,65289700,430688000,495977700,62869100,430688000,493557100,430688000
V,CAMARINES SUR,CITY OF NAGA,0.9997719303,0.9998269876,4897,30180,35077,4889,30180,35069,17874050,150900000,168774050,17844850,150900000,168744850,150900000
VII,CEBU,CITY OF NAGA,0.9995758443,0.9996599703,2788,16073,18861,2780,16073,18853,12964200,96438000,109402200,12927000,96438000,109365000,96438000
NCR,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS,0.9919051013,0.9929276353,11306,27978,39284,10988,27978,38966,75184900,223824000,299008900,73070200,223824000,296894200,223824000
III,ZAMBALES,CITY OF OLONGAPO,0.990854539,0.9909941826,2115,29048,31163,2075,28803,30878,10892250,188812000,199704250,10686250,187219500,197905750,187817500
X,MISAMIS OCCIDENTAL,CITY OF OROQUIETA (Capital),0.9119340283,0.9074168104,3079,9775,12854,3052,8670,11722,14317350,58650000,72967350,14191800,52020000,66211800,58650000
X,MISAMIS OCCIDENTAL,CITY OF OZAMIZ,0.9966265995,0.9972549255,5457,20333,25790,5370,20333,25703,25375050,121998000,147373050,24970500,121998000,146968500,121998000
IX,ZAMBOANGA DEL SUR,CITY OF PAGADIAN (Capital),0.9945768066,0.9996367265,12352,25633,37985,12146,25633,37779,42642950,128165000,170807950,42580900,128165000,170745900,128165000
III,NUEVA ECIJA,CITY OF PALAYAN (Capital),0.9944444444,0.9943795431,1400,7780,9180,1395,7734,9129,7210000,50570000,57780000,7184250,50271000,57455250,50271000
XI,DAVAO DEL NORTE,CITY OF PANABO,0.9997798811,0.9998200499,7350,24451,31801,7343,24451,31794,34177500,146706000,180883500,34144950,146706000,180850950,146706000
NCR,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE,0.9973629861,0.9977727716,8029,77674,85703,7803,77674,85477,53392850,621392000,674784850,51889950,621392000,673281950,621392000
NCR,"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,0.9987528227,0.9989431097,11972,93867,105839,11840,93867,105707,79613800,750936000,830549800,78736000,750936000,829672000,750936000
VI,ILOILO,CITY OF PASSI,0.9903698706,0.9896497057,3026,13277,16303,3023,13123,16146,14103450,79662000,93765450,14056950,78738000,92794950,79662000
IV-B,PALAWAN,CITY OF PUERTO PRINCESA (Capital),0.9989477926,0.9991943316,7712,36956,44668,7665,36956,44621,28148800,184780000,212928800,27977250,184780000,212757250,184780000
VI,CAPIZ,CITY OF ROXAS (Capital),0.9997176954,0.9992087332,5179,33786,38965,5177,33777,38954,24198600,202716000,226914600,24073050,202662000,226735050,202716000
VI,NEGROS OCCIDENTAL,CITY OF SAGAY,0.9780752609,0.9780628506,7169,21292,28461,7111,20726,27837,33201000,127752000,160953000,33066150,124356000,157422150,127752000
VI,NEGROS OCCIDENTAL,CITY OF SAN CARLOS,0.9986043807,0.9980260516,6547,19248,25795,6511,19248,25759,30564450,115488000,146052450,30276150,115488000,145764150,115488000
I,PANGASINAN,CITY OF SAN CARLOS,0.9976350787,0.9975030795,8542,27400,35942,8540,27317,35857,35449300,150700000,186149300,35441000,150243500,185684500,150700000
I,LA UNION,CITY OF SAN FERNANDO (Capital),0.9180540465,0.9163770906,2331,26200,28531,2331,23862,26193,9673650,144100000,153773650,9673650,131241000,140914650,144100000
III,PAMPANGA,CITY OF SAN FERNANDO (Capital),0.9940832815,0.9942229788,2933,37292,40225,2889,37098,39987,15104950,242398000,257502950,14878350,241137000,256015350,241137000
III,BULACAN,CITY OF SAN JOSE DEL MONTE,0.9951811661,0.9959988429,14726,66829,81555,14346,66816,81162,75838900,434388500,510227400,73881900,434304000,508185900,434304000
NCR,"NCR, SECOND DISTRICT (Not a Province)",CITY OF SAN JUAN,0.9989139754,0.9990867953,1186,16309,17495,1167,16309,17476,7886900,130472000,138358900,7760550,130472000,138232550,130472000
IV-A,LAGUNA,CITY OF SAN PABLO,1,1,2567,40416,42983,2567,40416,42983,13220050,262704000,275924050,13220050,262704000,275924050,262704000
IV-A,LAGUNA,CITY OF SAN PEDRO,0.955332535,0.9550841177,1401,51210,52611,1401,48860,50261,7215150,332865000,340080150,7215150,317590000,324805150,332865000
IV-A,LAGUNA,CITY OF SANTA ROSA,1,1,2184,54932,57116,2184,54932,57116,11247600,357058000,368305600,11247600,357058000,368305600,357058000
II,ISABELA,CITY OF SANTIAGO,1,0.9979035078,1842,22724,24566,1842,22724,24566,7644300,124982000,132626300,7366250,124982000,132348250,124982000
VI,NEGROS OCCIDENTAL,CITY OF SILAY,0.9491703764,0.9465376583,4591,20119,24710,4576,18878,23454,21431850,120714000,142145850,21278400,113268000,134546400,120714000
VI,NEGROS OCCIDENTAL,CITY OF SIPALAY,0.9950807636,0.9999379971,4753,8867,13620,4686,8867,13553,21794550,53202000,74996550,21789900,53202000,74991900,53202000
V,SORSOGON,CITY OF SORSOGON (Capital),0.9954887989,0.9965042842,8372,30642,39014,8196,30642,38838,30557800,153210000,183767800,29915400,153210000,183125400,153210000
IV-A,BATANGAS,CITY OF STO. TOMAS,1,1,2971,24581,27552,2971,24581,27552,15300650,159776500,175077150,15300650,159776500,175077150,159776500
